score,is_normal,is_knownfault
0.82950836,1,0
0.885192,1,0
0.80417025,1,0
0.68389565,1,0
0.5821477,1,0
0.9032216,1,0
0.8323339,1,0
0.6293192,1,0
0.6877285,1,0
0.7292979,1,0
0.7897928,1,0
0.77779305,1,0
0.9680617,1,0
0.990734,1,0
0.90021104,1,0
0.8252452,1,0
0.63270724,1,0
0.72044504,1,0
0.773616,1,0
0.6970502,1,0
0.8264296,1,0
0.67758715,1,0
0.6653105,1,0
0.84056133,1,0
0.8544129,1,0
0.83462584,1,0
0.8828334,1,0
0.7912378,1,0
0.87456733,1,0
0.8832912,1,0
0.9637602,1,0
0.9462968,1,0
0.68880856,1,0
0.7211467,1,0
0.971382,1,0
0.9821877,1,0
0.91433185,1,0
0.9521569,1,0
0.81627643,1,0
0.7249938,1,0
0.66441876,1,0
0.7973205,1,0
0.6839683,1,0
0.88561743,1,0
0.8530282,1,0
0.76008254,1,0
0.7637392,1,0
0.8486935,1,0
0.9501637,1,0
0.7191957,1,0
0.9440951,1,0
0.9501544,1,0
0.63136196,1,0
0.90615135,1,0
0.9105433,1,0
0.73554426,1,0
0.9719406,1,0
0.92417496,1,0
0.9244803,1,0
0.9212875,1,0
0.9108984,1,0
0.77068686,1,0
0.8684308,1,0
0.9413992,1,0
0.8245347,1,0
0.89690804,1,0
0.95255625,1,0
0.9375384,1,0
0.94327277,1,0
0.6721072,1,0
0.7523781,1,0
0.85502267,1,0
0.8642702,1,0
0.8357555,1,0
0.97224796,1,0
0.8980714,1,0
0.7420956,1,0
0.63436425,1,0
0.6918405,1,0
0.7691674,1,0
0.7326191,1,0
0.6612769,1,0
0.800205,1,0
0.7815205,1,0
0.881569,1,0
0.82414633,1,0
0.8548198,1,0
0.8534237,1,0
0.95344895,1,0
0.91698855,1,0
0.67969584,1,0
0.813719,1,0
0.8807017,1,0
0.5916748,1,0
0.79874676,1,0
0.871253,1,0
0.9422103,1,0
0.98705214,1,0
0.78049487,1,0
0.76046455,1,0
0.9219939,1,0
0.96166915,1,0
0.7753733,1,0
0.56429374,1,0
0.6542529,1,0
0.97209823,1,0
0.975942,1,0
0.6034347,1,0
0.6031196,1,0
0.5724198,1,0
0.49839658,1,0
0.66027486,1,0
0.6016553,1,0
0.682657,1,0
0.8148062,1,0
0.78746593,1,0
0.66784513,1,0
0.7014563,1,0
0.7393779,1,0
0.8253235,1,0
0.84187156,1,0
0.6713191,1,0
0.6668997,1,0
0.6574738,1,0
0.85892475,1,0
0.8185702,1,0
0.88773274,1,0
0.8061989,1,0
0.94305253,1,0
0.8282057,1,0
0.72913915,1,0
0.7589334,1,0
0.7728907,1,0
0.7996409,1,0
0.90802634,1,0
0.9611317,1,0
0.9772645,1,0
0.9534996,1,0
0.9209459,1,0
0.86724603,1,0
0.7805592,1,0
0.93140274,1,0
0.9232218,1,0
0.8766641,1,0
0.69314003,1,0
0.6926824,1,0
0.8517752,1,0
0.73644644,1,0
0.97842103,1,0
0.96738297,1,0
0.951147,1,0
0.6402104,1,0
0.597659,1,0
0.8437332,1,0
0.94305927,1,0
0.95011806,1,0
0.94890374,1,0
0.82620853,1,0
0.7984198,1,0
0.6906483,1,0
0.8229065,1,0
0.91030777,1,0
0.9544153,1,0
0.9659725,1,0
0.9244139,1,0
0.8578609,1,0
0.60347676,1,0
0.760357,1,0
0.75086707,1,0
0.9370941,1,0
0.92889285,1,0
0.8564138,1,0
0.8437991,1,0
0.81703657,1,0
0.70726174,1,0
0.7021918,1,0
0.7452072,1,0
0.9682995,1,0
0.91233706,1,0
0.5746794,1,0
0.53902483,1,0
0.6047183,1,0
0.78855866,1,0
0.8879588,1,0
0.6945833,1,0
0.804686,1,0
0.63123345,1,0
0.7748778,1,0
0.9439878,1,0
0.894073,1,0
0.9656092,1,0
0.8777292,1,0
0.87143564,1,0
0.82706076,1,0
0.67711085,1,0
0.67017674,1,0
0.90828204,1,0
0.89208287,1,0
0.850199,1,0
0.8351973,1,0
0.8715973,1,0
0.7270957,1,0
0.8277111,1,0
0.91744816,1,0
0.9184476,1,0
0.97425437,1,0
0.9395031,1,0
0.95961076,1,0
0.8891336,1,0
0.66475457,1,0
0.6998353,1,0
0.81403387,1,0
0.86918783,1,0
0.8138366,1,0
0.7595084,1,0
0.77543217,1,0
0.7952386,1,0
0.8937023,1,0
0.98932,1,0
0.8730855,1,0
0.7085774,1,0
0.7703529,1,0
0.9194885,1,0
0.9496862,1,0
0.9893654,1,0
0.93884957,1,0
0.85081196,1,0
0.71048725,1,0
0.81874704,1,0
0.89218414,1,0
0.9707401,1,0
0.8023615,1,0
0.5757625,1,0
0.6111834,1,0
0.5542263,1,0
0.68562365,1,0
0.893357,1,0
0.64804876,1,0
0.6785969,1,0
0.8663501,1,0
0.96439886,1,0
0.9073552,1,0
0.94182664,1,0
0.9646643,1,0
0.85704327,1,0
0.8700117,1,0
0.89919156,1,0
0.7380117,1,0
0.75246584,1,0
0.899155,1,0
0.7403763,1,0
0.8867241,1,0
0.81444186,1,0
0.9061689,1,0
0.924435,1,0
0.8888268,1,0
0.9060813,1,0
0.84707785,1,0
0.6979382,1,0
0.8155,1,0
0.78916234,1,0
0.99497586,1,0
0.9912454,1,0
0.8543499,1,0
0.81906605,1,0
0.72154343,1,0
0.8797779,1,0
0.93381506,1,0
0.85759026,1,0
0.8302631,1,0
0.941992,1,0
0.96194476,1,0
0.954961,1,0
0.7253208,1,0
0.8096907,1,0
0.93786347,1,0
0.95771897,1,0
0.8738592,1,0
0.6305401,1,0
0.5978597,1,0
0.7334386,1,0
0.92659783,1,0
0.9714999,1,0
0.9332005,1,0
0.91166735,1,0
0.9068224,1,0
0.9361585,1,0
0.97433496,1,0
0.9055435,1,0
0.64601994,1,0
0.63306874,1,0
0.7190881,1,0
0.8734504,1,0
0.90448713,1,0
0.7989322,1,0
0.84482074,1,0
0.6565603,1,0
0.5513617,1,0
0.5928502,1,0
0.77843857,1,0
0.6822691,1,0
0.5882347,1,0
0.58101785,1,0
0.8304557,1,0
0.8265386,1,0
0.8395615,1,0
0.9573182,1,0
0.7636417,1,0
0.7293512,1,0
0.85665226,1,0
0.75049114,1,0
0.61900645,1,0
0.8326889,1,0
0.8161206,1,0
0.76361424,1,0
0.76925486,1,0
0.6175144,1,0
0.6018494,1,0
0.8405862,1,0
0.94506377,1,0
0.6950685,1,0
0.84229314,1,0
0.96673495,1,0
0.7999815,1,0
0.87808603,1,0
0.969432,1,0
0.8153338,1,0
0.74747604,1,0
0.7201462,1,0
0.74578995,1,0
0.92203414,1,0
0.8210195,1,0
0.77491856,1,0
0.7191676,1,0
